,timestamps,iops,write_latency,read_latency,datastore
0,1584260819999,0.0,0.0,0.1716991364955902,ams01-tvpp1-sc03-cloudcenter-02
1,1584261119999,0.0,0.0,0.13792158663272858,ams01-tvpp1-sc03-cloudcenter-02
2,1584261419999,0.0,0.0,1.129818081855774,ams01-tvpp1-sc03-cloudcenter-02
3,1584261719999,0.0,0.0,0.14991942048072815,ams01-tvpp1-sc03-cloudcenter-02
4,1584262019999,0.0,0.0,0.09405061602592468,ams01-tvpp1-sc03-cloudcenter-02
5,1584262319999,0.010695187374949455,0.0,0.12525859475135803,ams01-tvpp1-sc03-cloudcenter-02
6,1584262619999,0.0,0.0,0.19325101375579834,ams01-tvpp1-sc03-cloudcenter-02
7,1584262919999,0.0,0.0,0.045914288610219955,ams01-tvpp1-sc03-cloudcenter-02
8,1584263219999,0.0,0.0,0.11236070096492767,ams01-tvpp1-sc03-cloudcenter-02
9,1584263519999,0.0,0.0,0.20370981097221375,ams01-tvpp1-sc03-cloudcenter-02
10,1584263819999,0.0,0.0,0.04721752926707268,ams01-tvpp1-sc03-cloudcenter-02
11,1584264119999,0.035138703882694244,0.0,0.08543705195188522,ams01-tvpp1-sc03-cloudcenter-02
12,1584264419999,0.0,0.0,0.17980779707431793,ams01-tvpp1-sc03-cloudcenter-02
13,1584264719999,0.0,0.0,0.06370824575424194,ams01-tvpp1-sc03-cloudcenter-02
14,1584265019999,0.0,0.0,0.0638456866145134,ams01-tvpp1-sc03-cloudcenter-02
15,1584265319999,0.0,0.0,0.1422048956155777,ams01-tvpp1-sc03-cloudcenter-02
16,1584265619999,0.0,0.0,0.13109010457992554,ams01-tvpp1-sc03-cloudcenter-02
17,1584265919999,0.0234470684081316,0.0,0.06416522711515427,ams01-tvpp1-sc03-cloudcenter-02
18,1584266219999,0.0,0.0,0.1414557844400406,ams01-tvpp1-sc03-cloudcenter-02
19,1584266519999,0.0,0.0,0.09698135405778885,ams01-tvpp1-sc03-cloudcenter-02
20,1584266819999,0.0,0.0,0.12204820662736893,ams01-tvpp1-sc03-cloudcenter-02
21,1584267119999,0.0,0.0,0.1402382105588913,ams01-tvpp1-sc03-cloudcenter-02
22,1584267419999,0.0,0.0,0.1530088633298874,ams01-tvpp1-sc03-cloudcenter-02
23,1584267719999,0.024046657606959343,0.0,0.06679143011569977,ams01-tvpp1-sc03-cloudcenter-02
24,1584268019999,0.0,0.0,0.10469158738851547,ams01-tvpp1-sc03-cloudcenter-02
25,1584268319999,0.0,0.0,0.1573910415172577,ams01-tvpp1-sc03-cloudcenter-02
26,1584268619999,0.0,0.00972276832908392,0.10767285525798798,ams01-tvpp1-sc03-cloudcenter-02
27,1584268919999,0.0,0.004841953981667757,0.13283132016658783,ams01-tvpp1-sc03-cloudcenter-02
28,1584269219999,0.0,0.04485004395246506,0.15097317099571228,ams01-tvpp1-sc03-cloudcenter-02
29,1584269519999,0.010975056327879429,0.008411616086959839,0.11021161824464798,ams01-tvpp1-sc03-cloudcenter-02
30,1584269819999,0.0,0.002369415247812867,0.15081073343753815,ams01-tvpp1-sc03-cloudcenter-02
31,1584270119999,0.0,0.0035456044133752584,0.12841126322746277,ams01-tvpp1-sc03-cloudcenter-02
32,1584270419999,0.0,0.010871718637645245,0.06384021788835526,ams01-tvpp1-sc03-cloudcenter-02
33,1584270719999,0.0,0.0017362571088597178,0.09625806659460068,ams01-tvpp1-sc03-cloudcenter-02
34,1584271019999,0.0,0.004591860808432102,0.11556624621152878,ams01-tvpp1-sc03-cloudcenter-02
35,1584271319999,0.020141489803791046,0.010413859970867634,0.08635339140892029,ams01-tvpp1-sc03-cloudcenter-02
36,1584271619999,0.0,0.0017403720412403345,0.09054213762283325,ams01-tvpp1-sc03-cloudcenter-02
37,1584271919999,0.0,0.0033812837209552526,0.13526158034801483,ams01-tvpp1-sc03-cloudcenter-02
38,1584272219999,0.0,0.010025081224739552,0.08542245626449585,ams01-tvpp1-sc03-cloudcenter-02
39,1584272519999,0.0,0.0016113485908135772,0.09777922928333282,ams01-tvpp1-sc03-cloudcenter-02
