,timestamps,mem,cpu,disk,clustername
75,1584284219999,119085568,12166,777606912,AMS01-TVPP1-CloudCenter-Cluster
76,1584284519999,119078384,12166,777606912,AMS01-TVPP1-CloudCenter-Cluster
77,1584284819999,119081280,12541,777606912,AMS01-TVPP1-CloudCenter-Cluster
78,1584285119999,119086368,12138,777606912,AMS01-TVPP1-CloudCenter-Cluster
79,1584285419999,119088848,12282,777606912,AMS01-TVPP1-CloudCenter-Cluster
80,1584285719999,119093520,12482,777716480,AMS01-TVPP1-CloudCenter-Cluster
81,1584286019999,119096000,12313,777716480,AMS01-TVPP1-CloudCenter-Cluster
82,1584286319999,119098040,12390,777716480,AMS01-TVPP1-CloudCenter-Cluster
83,1584286619999,119091704,12427,777716480,AMS01-TVPP1-CloudCenter-Cluster
84,1584286919999,119085592,12121,777716480,AMS01-TVPP1-CloudCenter-Cluster
85,1584287219999,119084448,12271,777716480,AMS01-TVPP1-CloudCenter-Cluster
86,1584287519999,119089728,12503,777716480,AMS01-TVPP1-CloudCenter-Cluster
87,1584287819999,119090472,12206,777716480,AMS01-TVPP1-CloudCenter-Cluster
88,1584288119999,119084296,12302,777716480,AMS01-TVPP1-CloudCenter-Cluster
89,1584288419999,119085200,12714,777716480,AMS01-TVPP1-CloudCenter-Cluster
90,1584288719999,119081392,12373,777716480,AMS01-TVPP1-CloudCenter-Cluster
91,1584289019999,119084600,12604,777716480,AMS01-TVPP1-CloudCenter-Cluster
92,1584289319999,119086344,12617,777716480,AMS01-TVPP1-CloudCenter-Cluster
93,1584289619999,119090696,12377,777716480,AMS01-TVPP1-CloudCenter-Cluster
94,1584289919999,119088472,12439,777716480,AMS01-TVPP1-CloudCenter-Cluster
95,1584290219999,119095168,12523,777716480,AMS01-TVPP1-CloudCenter-Cluster
96,1584290519999,119092912,12331,777716480,AMS01-TVPP1-CloudCenter-Cluster
97,1584290819999,119094816,12504,777716480,AMS01-TVPP1-CloudCenter-Cluster
98,1584291119999,119096688,12484,777716480,AMS01-TVPP1-CloudCenter-Cluster
99,1584291419999,119098712,12228,777716480,AMS01-TVPP1-CloudCenter-Cluster
100,1584291719999,119095120,12352,777716480,AMS01-TVPP1-CloudCenter-Cluster
101,1584292019999,119096816,12492,777716480,AMS01-TVPP1-CloudCenter-Cluster
102,1584292319999,119098336,12266,777716480,AMS01-TVPP1-CloudCenter-Cluster
103,1584292619999,119103496,12344,777716480,AMS01-TVPP1-CloudCenter-Cluster
104,1584292919999,119105576,12310,777716480,AMS01-TVPP1-CloudCenter-Cluster
105,1584293219999,119108080,12298,777716480,AMS01-TVPP1-CloudCenter-Cluster
106,1584293519999,119110160,12359,777716480,AMS01-TVPP1-CloudCenter-Cluster
107,1584293819999,119105584,12264,777716480,AMS01-TVPP1-CloudCenter-Cluster
108,1584294119999,119100440,12439,777716480,AMS01-TVPP1-CloudCenter-Cluster
